EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,MaritalStatus,Education,EducationField,MonthlyIncome,MonthlyRate,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Attrition,attrition_flag,satisfaction_avg,tenure_band,income_band
24,38,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,3,Life Sciences,3944,4306,11,3,0,6,3,3,2,1,2,YES,No,0,3.6666666666666665,1-3,Q2
26,24,FEMALE,Research & Development,Manufacturing Director,Non-Travel,Divorced,2,Other,4011,8232,18,3,1,5,5,4,2,1,3,NO,No,0,2.0,3-5,Q2
27,36,MALE,Sales,Sales Representative,Travel_Rarely,Single,4,Life Sciences,3407,6986,23,4,0,10,4,5,3,0,3,NO,Yes,1,2.3333333333333335,3-5,Q2
28,34,FEMALE,Research & Development,Research Director,Travel_Rarely,Single,4,Life Sciences,11994,21293,11,3,0,13,4,12,6,2,11,NO,No,0,2.0,10+,Q5 Highest
30,21,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,2,Life Sciences,1232,19281,14,3,0,0,6,0,0,0,0,NO,No,0,3.3333333333333335,0-1,Q1 Lowest
31,34,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,1,Medical,2960,17102,11,3,0,8,2,4,2,1,3,NO,Yes,1,2.0,3-5,Q2
32,53,FEMALE,Research & Development,Manager,Travel_Rarely,Divorced,3,Other,19094,10735,11,3,1,26,3,14,13,4,8,NO,No,0,2.6666666666666665,10+,Q5 Highest
33,32,FEMALE,Research & Development,Research Scientist,Travel_Frequently,Single,1,Life Sciences,3919,4681,22,4,0,10,5,10,2,6,7,YES,Yes,1,2.0,5-10,Q2
35,42,MALE,Sales,Sales Executive,Travel_Rarely,Married,4,Marketing,6825,21173,11,3,1,10,2,9,7,4,2,NO,No,0,2.6666666666666665,5-10,Q4
36,44,FEMALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,4,Medical,10248,2094,14,3,1,24,4,22,6,5,17,NO,No,0,2.6666666666666665,10+,Q5 Highest
38,46,FEMALE,Sales,Manager,Travel_Rarely,Single,4,Marketing,18947,22822,12,3,0,22,2,2,2,2,1,NO,No,0,1.6666666666666667,1-3,Q5 Highest
39,33,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Medical,2496,6670,11,3,0,7,3,1,1,0,0,NO,No,0,3.3333333333333335,0-1,Q1 Lowest
40,44,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,4,Other,6465,19121,13,3,0,9,5,4,2,1,3,YES,No,0,4.0,3-5,Q4
41,30,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,2,Medical,2206,16117,13,3,0,10,5,10,0,1,8,NO,No,0,3.3333333333333335,5-10,Q1 Lowest
42,39,MALE,Sales,Sales Representative,Travel_Rarely,Married,3,Technical Degree,2086,3335,14,3,1,19,6,1,0,0,0,NO,Yes,1,4.0,0-1,Q1 Lowest
45,24,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Medical,2293,3020,16,3,1,6,2,2,0,2,0,YES,Yes,1,2.6666666666666665,1-3,Q1 Lowest
46,43,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,2,Medical,2645,21923,12,3,2,6,3,5,3,1,4,NO,No,0,3.0,3-5,Q1 Lowest
47,50,MALE,Sales,Sales Representative,Travel_Rarely,Married,2,Marketing,2683,3810,14,3,0,3,2,3,2,0,2,YES,Yes,1,2.3333333333333335,1-3,Q1 Lowest
49,35,FEMALE,Sales,Sales Representative,Travel_Rarely,Married,3,Marketing,2014,9687,13,3,0,2,3,2,2,2,2,NO,No,0,3.6666666666666665,1-3,Q1 Lowest
51,36,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Married,4,Life Sciences,3419,13072,14,3,1,6,3,1,1,0,0,YES,No,0,2.3333333333333335,0-1,Q2
52,33,FEMALE,Sales,Sales Executive,Travel_Frequently,Married,3,Life Sciences,5376,3193,19,3,2,10,3,5,3,1,3,NO,No,0,2.3333333333333335,3-5,Q3
53,35,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,2,Other,1951,10910,12,3,1,1,3,1,0,0,0,NO,No,0,3.3333333333333335,0-1,Q1 Lowest
54,27,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,4,Life Sciences,2341,19715,13,3,1,1,6,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q1 Lowest
55,26,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Life Sciences,2293,10558,12,3,0,1,2,1,0,0,1,NO,Yes,1,2.0,0-1,Q1 Lowest
56,27,MALE,Sales,Sales Executive,Travel_Frequently,Single,3,Life Sciences,8726,2975,15,3,0,9,0,9,8,1,7,NO,No,0,3.3333333333333335,5-10,Q4
57,30,FEMALE,Research & Development,Laboratory Technician,Travel_Frequently,Single,2,Medical,4011,10781,23,4,0,12,2,12,8,3,7,NO,No,0,3.3333333333333335,10+,Q2
58,41,FEMALE,Research & Development,Research Director,Travel_Rarely,Married,3,Technical Degree,19545,16280,12,3,0,23,0,22,15,15,8,NO,Yes,1,2.6666666666666665,10+,Q5 Highest
60,34,MALE,Sales,Sales Executive,Non-Travel,Single,4,Marketing,4568,10034,20,4,0,10,2,9,5,8,7,NO,No,0,2.6666666666666665,5-10,Q3
61,37,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,2,Life Sciences,3022,10227,21,4,0,8,1,1,0,0,0,NO,No,0,2.3333333333333335,0-1,Q2
62,46,MALE,Sales,Sales Executive,Travel_Frequently,Single,4,Marketing,5772,20445,21,4,0,14,4,9,6,0,8,YES,No,0,2.6666666666666665,5-10,Q4
63,35,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,1,Life Sciences,2269,4892,19,3,0,1,2,1,0,0,1,NO,No,0,3.6666666666666665,0-1,Q1 Lowest
64,48,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,2,Life Sciences,5381,19294,13,3,0,23,2,1,0,0,0,YES,Yes,1,2.3333333333333335,0-1,Q3
65,28,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,4,Technical Degree,3441,11179,13,3,0,2,3,2,2,2,2,YES,Yes,1,2.6666666666666665,1-3,Q2
68,44,FEMALE,Sales,Sales Executive,Travel_Rarely,Divorced,5,Marketing,5454,4009,21,4,1,9,2,4,3,1,3,YES,No,0,1.6666666666666667,3-5,Q3
70,35,MALE,Research & Development,Healthcare Representative,Non-Travel,Married,2,Medical,9884,8302,13,3,1,10,3,4,0,2,3,YES,No,0,2.3333333333333335,3-5,Q5 Highest
72,26,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,3,Marketing,4157,21436,19,3,1,5,2,2,2,0,0,YES,No,0,3.0,1-3,Q2
73,33,FEMALE,Research & Development,Research Director,Travel_Frequently,Single,2,Life Sciences,13458,15146,12,3,0,15,1,15,14,8,12,YES,No,0,2.6666666666666665,10+,Q5 Highest
74,35,MALE,Sales,Sales Executive,Travel_Frequently,Married,5,Life Sciences,9069,11031,22,4,1,9,3,9,8,1,8,NO,No,0,1.6666666666666667,5-10,Q4
75,35,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,4,Medical,4014,16002,15,3,1,4,3,2,2,2,2,YES,No,0,2.3333333333333335,1-3,Q2
76,31,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,4,Life Sciences,5915,9528,22,4,1,10,3,7,7,1,7,NO,No,0,3.3333333333333335,5-10,Q4
77,37,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,4,Life Sciences,5993,2689,18,3,1,7,2,7,5,0,7,NO,No,0,2.6666666666666665,5-10,Q4
78,32,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,3,Medical,6162,10877,22,4,1,9,3,9,8,7,8,YES,No,0,2.6666666666666665,5-10,Q4
79,38,FEMALE,Research & Development,Laboratory Technician,Travel_Frequently,Single,5,Life Sciences,2406,5456,11,3,0,10,2,10,3,9,9,NO,No,0,3.6666666666666665,5-10,Q1 Lowest
80,50,FEMALE,Research & Development,Research Director,Travel_Rarely,Divorced,2,Medical,18740,16701,12,3,1,29,2,27,3,13,8,YES,No,0,2.3333333333333335,10+,Q5 Highest
81,59,FEMALE,Sales,Sales Executive,Travel_Rarely,Single,3,Life Sciences,7637,2354,11,3,0,28,3,21,16,7,9,NO,No,0,1.3333333333333333,10+,Q4
83,36,FEMALE,Research & Development,Healthcare Representative,Travel_Rarely,Divorced,3,Technical Degree,10096,8202,13,3,3,17,2,17,14,12,8,NO,No,0,3.0,10+,Q5 Highest
84,55,FEMALE,Research & Development,Manager,Travel_Rarely,Divorced,3,Medical,14756,19730,14,3,3,21,2,5,0,0,2,YES,No,0,3.3333333333333335,3-5,Q5 Highest
85,36,MALE,Research & Development,Manufacturing Director,Travel_Frequently,Single,3,Life Sciences,6499,22656,13,3,0,6,3,6,5,0,3,NO,No,0,2.3333333333333335,5-10,Q4
86,45,MALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,3,Life Sciences,9724,18787,17,3,1,25,2,1,0,0,0,NO,No,0,2.0,0-1,Q4
88,35,MALE,Research & Development,Research Scientist,Travel_Frequently,Married,3,Medical,2194,5868,13,3,1,5,2,3,2,1,2,NO,No,0,1.6666666666666667,1-3,Q1 Lowest
90,36,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Medical,3388,21777,17,3,1,2,0,1,0,0,0,YES,Yes,1,3.0,0-1,Q2
91,59,FEMALE,Sales,Sales Executive,Travel_Frequently,Single,1,Life Sciences,5473,24668,11,3,0,20,2,4,3,1,3,NO,No,0,2.0,3-5,Q3
94,29,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Life Sciences,2703,4956,23,4,1,6,3,5,4,0,4,NO,No,0,2.6666666666666665,3-5,Q2
95,31,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,4,Medical,2501,18775,17,3,0,1,4,1,1,1,0,NO,No,0,2.6666666666666665,0-1,Q1 Lowest
96,32,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Life Sciences,6220,7346,17,3,2,10,3,10,4,0,9,NO,No,0,2.3333333333333335,5-10,Q4
97,36,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,3,Life Sciences,3038,22002,12,3,0,5,3,1,0,0,0,NO,No,0,3.0,0-1,Q2
98,31,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,4,Life Sciences,4424,20682,23,4,0,11,2,11,7,1,8,NO,No,0,3.3333333333333335,10+,Q3
100,35,MALE,Sales,Sales Executive,Travel_Rarely,Single,4,Marketing,4312,23016,14,3,0,16,2,15,13,2,8,NO,No,0,2.3333333333333335,10+,Q3
101,45,MALE,Research & Development,Research Director,Travel_Rarely,Married,4,Other,13245,15067,14,3,0,17,3,0,0,0,0,YES,No,0,3.0,0-1,Q5 Highest
102,37,MALE,Research & Development,Research Director,Travel_Rarely,Single,4,Medical,13664,25258,13,3,0,16,3,5,2,0,2,NO,No,0,2.6666666666666665,3-5,Q5 Highest
103,46,MALE,Human Resources,Human Resources,Travel_Rarely,Divorced,2,Medical,5021,10425,22,4,1,16,2,4,2,0,2,YES,No,0,2.3333333333333335,3-5,Q3
104,30,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,1,Life Sciences,5126,15998,12,3,2,10,1,10,8,3,0,YES,No,0,3.3333333333333335,5-10,Q3
105,35,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,3,Medical,2859,26278,18,3,0,6,3,6,4,0,4,NO,No,0,2.6666666666666665,5-10,Q2
106,55,MALE,Sales,Sales Executive,Travel_Rarely,Married,2,Life Sciences,10239,18092,14,3,1,24,4,1,0,1,0,NO,No,0,2.6666666666666665,0-1,Q5 Highest
107,38,FEMALE,Research & Development,Research Scientist,Non-Travel,Divorced,3,Medical,5329,15717,12,3,3,17,3,13,11,1,9,YES,No,0,3.0,10+,Q3
110,34,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,2,Medical,4325,17736,15,3,0,5,2,5,2,1,3,NO,No,0,2.0,3-5,Q3
112,56,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Single,3,Life Sciences,7260,21698,11,3,0,37,3,6,4,0,2,NO,No,0,3.3333333333333335,5-10,Q4
113,23,MALE,Sales,Sales Representative,Travel_Rarely,Divorced,1,Technical Degree,2322,9518,13,3,1,3,3,0,0,0,0,NO,No,0,2.3333333333333335,0-1,Q1 Lowest
116,51,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,4,Life Sciences,2075,18725,23,4,2,10,4,4,2,0,3,NO,No,0,3.6666666666666665,3-5,Q1 Lowest
117,30,MALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,3,Life Sciences,4152,15830,19,3,3,11,3,11,10,10,8,NO,No,0,3.3333333333333335,10+,Q2
118,46,MALE,Sales,Sales Executive,Travel_Rarely,Single,2,Medical,9619,13596,16,3,0,9,3,9,8,4,7,NO,Yes,1,3.3333333333333335,5-10,Q4
119,40,MALE,Research & Development,Healthcare Representative,Travel_Frequently,Married,4,Life Sciences,13503,14115,22,4,1,22,3,22,3,11,11,NO,No,0,2.3333333333333335,10+,Q5 Highest
120,51,MALE,Sales,Sales Executive,Travel_Rarely,Single,4,Marketing,5441,8423,22,4,0,11,2,10,7,1,0,YES,No,0,2.6666666666666665,5-10,Q3
121,30,FEMALE,Sales,Sales Executive,Travel_Rarely,Divorced,2,Medical,5209,19760,12,3,3,11,4,11,8,2,7,YES,No,0,2.3333333333333335,10+,Q3
124,46,MALE,Research & Development,Healthcare Representative,Travel_Frequently,Married,3,Medical,10673,3142,13,3,1,21,5,10,9,9,5,YES,No,0,2.0,5-10,Q5 Highest
125,32,MALE,Sales,Sales Executive,Travel_Rarely,Single,4,Medical,5010,24301,16,3,0,12,0,11,8,5,7,NO,No,0,2.6666666666666665,10+,Q3
126,54,FEMALE,Research & Development,Research Director,Travel_Rarely,Married,4,Technical Degree,13549,24001,12,3,1,16,5,4,3,0,3,NO,No,0,1.6666666666666667,3-5,Q5 Highest
128,24,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,2,Other,4999,17519,21,4,1,4,2,3,2,0,2,NO,No,0,2.0,1-3,Q3
129,28,MALE,Sales,Sales Executive,Non-Travel,Married,3,Medical,4221,8863,15,3,0,5,3,5,4,0,4,NO,No,0,3.0,3-5,Q2
131,58,MALE,Sales,Sales Executive,Travel_Rarely,Single,4,Medical,13872,24409,13,3,0,38,1,37,10,1,8,NO,No,0,3.0,10+,Q5 Highest
132,44,MALE,Research & Development,Laboratory Technician,Non-Travel,Married,3,Medical,2042,25043,12,3,1,17,3,3,2,1,2,NO,No,0,2.6666666666666665,1-3,Q1 Lowest
133,37,MALE,Human Resources,Human Resources,Travel_Rarely,Divorced,4,Human Resources,2073,23648,22,4,0,7,3,3,2,0,2,YES,Yes,1,2.3333333333333335,1-3,Q1 Lowest
134,32,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,1,Life Sciences,2956,15178,13,3,0,1,2,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q2
137,20,FEMALE,Research & Development,Laboratory Technician,Travel_Frequently,Single,3,Life Sciences,2926,19783,18,3,0,1,5,1,0,1,0,YES,Yes,1,3.6666666666666665,0-1,Q2
138,34,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Single,4,Other,4809,12482,14,3,0,16,3,16,13,2,10,NO,No,0,2.3333333333333335,10+,Q3
139,37,MALE,Research & Development,Healthcare Representative,Non-Travel,Divorced,2,Life Sciences,5163,15850,14,3,1,17,2,1,0,0,0,NO,No,0,3.6666666666666665,0-1,Q3
140,59,FEMALE,Human Resources,Manager,Non-Travel,Married,4,Human Resources,18844,21922,21,4,1,30,3,3,2,2,2,NO,No,0,3.3333333333333335,1-3,Q5 Highest
141,50,FEMALE,Research & Development,Research Director,Travel_Frequently,Married,3,Life Sciences,18172,9755,19,3,0,28,1,8,3,0,7,YES,No,0,1.6666666666666667,5-10,Q5 Highest
142,25,MALE,Sales,Sales Executive,Travel_Rarely,Single,3,Marketing,5744,26959,11,3,0,6,1,6,4,0,3,YES,Yes,1,3.0,5-10,Q4
143,25,MALE,Research & Development,Research Scientist,Travel_Rarely,Married,1,Medical,2889,26897,11,3,2,2,2,2,2,2,1,NO,No,0,3.6666666666666665,1-3,Q2
144,22,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Medical,2871,23785,15,3,0,1,5,0,0,0,0,NO,No,0,3.0,0-1,Q2
145,51,FEMALE,Research & Development,Healthcare Representative,Travel_Frequently,Single,4,Medical,7484,25796,20,4,0,23,1,13,12,12,8,NO,No,0,1.3333333333333333,10+,Q4
147,34,MALE,Research & Development,Laboratory Technician,Travel_Frequently,Single,3,Life Sciences,6074,22887,24,4,0,9,3,9,7,0,6,YES,Yes,1,2.3333333333333335,5-10,Q4
148,54,FEMALE,Human Resources,Manager,Non-Travel,Single,3,Human Resources,17328,13871,12,3,0,23,3,5,3,4,4,YES,No,0,3.6666666666666665,3-5,Q5 Highest
150,24,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,1,Life Sciences,2774,13257,12,3,1,6,2,5,3,1,2,NO,No,0,2.6666666666666665,3-5,Q2
151,34,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,4,Life Sciences,4505,15000,15,3,1,12,3,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q3
152,37,MALE,Sales,Sales Executive,Travel_Rarely,Single,3,Life Sciences,7428,14506,12,3,0,12,3,5,3,1,3,NO,No,0,3.3333333333333335,3-5,Q4
153,34,FEMALE,Research & Development,Manager,Travel_Rarely,Single,3,Medical,11631,5615,12,3,0,14,6,11,10,5,8,NO,No,0,2.3333333333333335,10+,Q5 Highest
154,36,FEMALE,Sales,Sales Executive,Travel_Frequently,Married,2,Technical Degree,9738,22952,14,3,1,10,6,9,7,2,8,NO,No,0,3.0,5-10,Q4
155,36,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Divorced,2,Life Sciences,2835,2561,22,4,1,7,2,1,0,0,0,NO,No,0,2.6666666666666665,0-1,Q2
158,43,MALE,Sales,Manager,Travel_Frequently,Married,2,Life Sciences,16959,19494,12,3,2,25,3,25,12,4,12,YES,No,0,3.6666666666666665,10+,Q5 Highest
159,30,MALE,Research & Development,Research Scientist,Travel_Frequently,Divorced,3,Life Sciences,2613,22310,25,4,3,10,2,10,7,0,9,NO,No,0,2.0,5-10,Q1 Lowest
160,33,MALE,Sales,Sales Executive,Non-Travel,Married,2,Marketing,6146,15480,13,3,1,8,2,7,7,0,7,NO,No,0,3.0,5-10,Q4
161,56,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Married,4,Life Sciences,4963,4510,18,3,3,7,2,5,4,4,3,YES,Yes,1,2.3333333333333335,3-5,Q3
162,51,MALE,Research & Development,Research Director,Travel_Rarely,Single,3,Life Sciences,19537,6462,13,3,0,23,5,20,18,15,15,NO,No,0,2.3333333333333335,10+,Q5 Highest
163,31,MALE,Sales,Sales Executive,Travel_Rarely,Married,4,Life Sciences,6172,20739,18,3,0,12,3,7,7,7,7,YES,Yes,1,2.3333333333333335,5-10,Q4
164,26,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Married,3,Other,2368,23300,19,3,0,5,3,5,4,4,3,NO,No,0,2.3333333333333335,3-5,Q1 Lowest
165,58,FEMALE,Research & Development,Healthcare Representative,Travel_Rarely,Married,4,Medical,10312,3465,12,3,1,40,3,40,10,15,6,NO,Yes,1,3.3333333333333335,10+,Q5 Highest
167,19,MALE,Sales,Sales Representative,Travel_Rarely,Single,1,Marketing,1675,26820,19,3,0,0,2,0,0,0,0,YES,Yes,1,3.0,0-1,Q1 Lowest
169,22,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,1,Technical Degree,2523,19299,14,3,1,3,2,2,1,2,1,NO,No,0,3.3333333333333335,1-3,Q1 Lowest
170,49,FEMALE,Research & Development,Manufacturing Director,Travel_Rarely,Married,4,Medical,6567,5549,14,3,0,16,2,15,11,5,11,NO,No,0,2.0,10+,Q4
171,43,FEMALE,Research & Development,Research Scientist,Travel_Frequently,Single,3,Medical,4739,16090,12,3,0,18,2,3,2,1,2,NO,No,0,2.6666666666666665,1-3,Q3
174,50,FEMALE,Sales,Sales Executive,Travel_Frequently,Single,3,Marketing,9208,6645,11,3,0,16,3,2,2,2,1,NO,No,0,3.3333333333333335,1-3,Q4
175,31,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,3,Life Sciences,4559,24788,11,3,1,4,2,2,2,2,2,YES,Yes,1,2.6666666666666665,1-3,Q3
176,41,MALE,Sales,Sales Executive,Travel_Rarely,Divorced,1,Life Sciences,8189,21196,13,3,1,12,2,9,7,0,7,YES,No,0,3.0,5-10,Q4
177,26,FEMALE,Human Resources,Human Resources,Travel_Rarely,Married,1,Life Sciences,2942,8916,23,4,1,8,3,8,7,5,7,NO,No,0,3.0,5-10,Q2
178,36,MALE,Research & Development,Manufacturing Director,Travel_Rarely,Divorced,2,Medical,4941,2819,20,4,2,7,0,3,2,0,1,NO,No,0,2.3333333333333335,1-3,Q3
179,51,MALE,Research & Development,Manufacturing Director,Travel_Frequently,Single,4,Life Sciences,10650,25150,15,3,0,18,2,4,2,0,3,NO,Yes,1,2.6666666666666665,3-5,Q5 Highest
182,39,FEMALE,Sales,Sales Executive,Travel_Rarely,Married,4,Life Sciences,5902,14590,14,3,1,17,1,15,11,5,9,NO,No,0,3.6666666666666665,10+,Q4
183,25,MALE,Sales,Sales Executive,Travel_Rarely,Married,3,Life Sciences,8639,24835,18,3,0,6,3,2,2,2,2,NO,No,0,2.3333333333333335,1-3,Q4
184,30,MALE,Human Resources,Human Resources,Travel_Rarely,Married,3,Human Resources,6347,13982,19,3,0,12,2,11,9,4,7,YES,No,0,2.6666666666666665,10+,Q4
190,32,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,3,Medical,4200,10224,22,4,0,10,2,5,4,0,4,NO,Yes,1,2.0,3-5,Q2
192,45,MALE,Research & Development,Research Scientist,Travel_Rarely,Single,3,Medical,3452,9752,13,3,0,9,2,6,5,0,3,NO,No,0,3.0,5-10,Q2
193,38,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Single,5,Technical Degree,4317,2302,20,4,0,19,2,3,2,2,2,YES,No,0,3.3333333333333335,1-3,Q3
194,30,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Single,3,Life Sciences,2632,23910,14,3,0,5,4,5,4,0,4,NO,No,0,2.0,3-5,Q1 Lowest
195,32,MALE,Sales,Sales Executive,Travel_Frequently,Divorced,2,Medical,4668,22812,17,3,3,9,2,8,7,0,7,NO,No,0,4.0,5-10,Q3
197,30,FEMALE,Research & Development,Research Scientist,Travel_Rarely,Divorced,3,Technical Degree,3204,10415,14,3,1,8,3,3,2,2,2,NO,No,0,2.6666666666666665,1-3,Q2
198,30,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,1,Medical,2720,11162,13,3,0,6,3,5,3,1,2,NO,No,0,3.0,3-5,Q2
199,41,MALE,Research & Development,Manager,Travel_Frequently,Divorced,3,Life Sciences,17181,12888,13,3,1,21,2,7,6,7,7,NO,No,0,2.3333333333333335,5-10,Q5 Highest
200,41,MALE,Research & Development,Laboratory Technician,Travel_Rarely,Married,4,Life Sciences,2238,6961,21,4,1,7,2,5,0,1,4,NO,No,0,2.3333333333333335,3-5,Q1 Lowest
201,19,FEMALE,Research & Development,Laboratory Technician,Travel_Rarely,Single,1,Medical,1483,16102,14,3,0,1,3,1,0,0,0,NO,No,0,2.3333333333333335,0-1,Q1 Lowest
